emperor;Emperor;;;;;;;;;;;;;
emperor_adj;Emperor;;;;;;;;;;;;;
emperor_desc;Emperor;;;;;;;;;;;;;
king;Käing;;;;;;;;;;;;;
king_adj;Käing;;;;;;;;;;;;;
king_desc;Käing;;;;;;;;;;;;;
duke;Duke;;;;;;;;;;;;;
duke_adj;Duke;;;;;;;;;;;;;
duke_desc;Duke;;;;;;;;;;;;;
count;Count;;;;;;;;;;;;;
count_adj;Count;;;;;;;;;;;;;
count_desc;Count;;;;;;;;;;;;;
baron;Baron;;;;;;;;;;;;;
baron_adj;Baron;;;;;;;;;;;;;
baron_desc;Baron;;;;;;;;;;;;;
mayor;Mayor;;;;;;;;;;;;;
mayor_adj;Mayor;;;;;;;;;;;;;
mayor_desc;Mayor;;;;;;;;;;;;;
barbarian;Tavesha;;;;;;;;;;;;;
barbarian_adj;Tavesha;;;;;;;;;;;;;
barbarian_desc;Tavesha;;;;;;;;;;;;;
norse;Panreos;;;;;;;;;;;;;
norse_adj;Panreos;;;;;;;;;;;;;
norse_desc;Panreos;;;;;;;;;;;;;
pagan;Paspucon;;;;;;;;;;;;;
pagan_adj;Paspucon;;;;;;;;;;;;;
pagan_desc;Paspucon;;;;;;;;;;;;;
christian;Aepydla;;;;;;;;;;;;;
christian_adj;Aepydla;;;;;;;;;;;;;
christian_desc;Aepydla;;;;;;;;;;;;;
pagan_DESC;The Gods smile upon you.;;;;;;;;;;;;;
pagan_DESC_adj;The Gods smile upon you.;;;;;;;;;;;;;
pagan_DESC_desc;The Gods smile upon you.;;;;;;;;;;;;;
bsir;Bsir;;;;;;;;;;;;;
bsir_adj;Bsir;;;;;;;;;;;;;
bsir_desc;Bsir;;;;;;;;;;;;;
ekanerdi;Ekanerdi;;;;;;;;;;;;;
ekanerdi_adj;Ekanerdi;;;;;;;;;;;;;
ekanerdi_desc;Ekanerdi;;;;;;;;;;;;;
wava;Wavæa;;;;;;;;;;;;;
wava_adj;Wavæa;;;;;;;;;;;;;
wava_desc;Wavæa;;;;;;;;;;;;;
tardo;Tardo;;;;;;;;;;;;;
tardo_adj;Tardo;;;;;;;;;;;;;
tardo_desc;Tardo;;;;;;;;;;;;;
brardo;Brardo;;;;;;;;;;;;;
brardo_adj;Brardo;;;;;;;;;;;;;
brardo_desc;Brardo;;;;;;;;;;;;;
bnak;Bnak;;;;;;;;;;;;;
bnak_adj;Bnak;;;;;;;;;;;;;
bnak_desc;Bnak;;;;;;;;;;;;;
rsi;Rsi;;;;;;;;;;;;;
rsi_adj;Rsi;;;;;;;;;;;;;
rsi_desc;Rsi;;;;;;;;;;;;;
agar;Agæar;;;;;;;;;;;;;
agar_adj;Agæar;;;;;;;;;;;;;
agar_desc;Agæar;;;;;;;;;;;;;
edla;Edla;;;;;;;;;;;;;
edla_adj;Edla;;;;;;;;;;;;;
edla_desc;Edla;;;;;;;;;;;;;
nho;Nho;;;;;;;;;;;;;
nho_adj;Nho;;;;;;;;;;;;;
nho_desc;Nho;;;;;;;;;;;;;
rdon;Rdon;;;;;;;;;;;;;
rdon_adj;Rdon;;;;;;;;;;;;;
rdon_desc;Rdon;;;;;;;;;;;;;
bsen;Bsen;;;;;;;;;;;;;
bsen_adj;Bsen;;;;;;;;;;;;;
bsen_desc;Bsen;;;;;;;;;;;;;
thin;Thin;;;;;;;;;;;;;
thin_adj;Thin;;;;;;;;;;;;;
thin_desc;Thin;;;;;;;;;;;;;
dsin;Dsin;;;;;;;;;;;;;
dsin_adj;Dsin;;;;;;;;;;;;;
